Date,cumulative_return
2023-07-03,1.0013141656876619
2023-07-05,0.9988089925367846
2023-07-06,1.006545521680362
2023-07-07,1.007535592147721
2023-07-10,1.0169116991201963
2023-07-11,1.0238195269843657
2023-07-12,1.0256397761860858
2023-07-13,1.013558476005669
2023-07-14,1.006263549490825
2023-07-17,0.9912457903379492
2023-07-18,1.004894023913995
2023-07-19,1.0076095220898338
2023-07-20,1.0189266710004101
2023-07-21,1.0270370538250038
2023-07-24,1.0250751720949902
2023-07-25,1.0536034940363375
2023-07-26,1.0476055376760898
2023-07-27,1.031912006426421
2023-07-28,1.0363781863146146
2023-07-31,1.0593457925779652
2023-08-01,1.0941459615701925
2023-08-02,1.0805490406480136
2023-08-03,1.0810882754921596
2023-08-04,1.0671463019759981
2023-08-07,1.0742851814021346
2023-08-08,1.1207386039135792
2023-08-09,1.1196947430180877
2023-08-10,1.1237984404123302
2023-08-11,1.144255885672106
2023-08-14,1.1473676766183092
2023-08-15,1.1825485813072325
2023-08-16,1.1945631924555296
2023-08-17,1.1837176035888515
2023-08-18,1.173432879266771
2023-08-21,1.1664259601609634
2023-08-22,1.161486638738315
2023-08-23,1.170775320646094
2023-08-24,1.1685941103459412
2023-08-25,1.1826298028843196
2023-08-28,1.1896187449087625
2023-08-29,1.1838846302811779
2023-08-30,1.2047205772971268
2023-08-31,1.223060576774245
2023-09-01,1.219818147816191
2023-09-05,1.2161790212656756
2023-09-06,1.1993288018093502
2023-09-07,1.190533216750224
2023-09-08,1.1983572239671416
2023-09-11,1.2125385621938864
2023-09-12,1.2117800024832208
2023-09-13,1.2209916823352842
2023-09-14,1.2281844823761967
2023-09-15,1.2237579084819274
2023-09-18,1.2126542207665405
2023-09-19,1.200357399871468
2023-09-20,1.1987235588805878
2023-09-21,1.2016436089060072
2023-09-22,1.208176213419296
2023-09-25,1.2111914257036915
2023-09-26,1.2095645210284856
2023-09-27,1.2154028890898585
2023-09-28,1.2202423847355601
2023-09-29,1.2031861580114842
2023-10-02,1.2212228498695241
2023-10-03,1.195935047075291
2023-10-04,1.1810959536552754
2023-10-05,1.1632320604286168
2023-10-06,1.1577552655604186
2023-10-09,1.1658167284074943
2023-10-10,1.163816905932277
2023-10-11,1.1315992118289373
2023-10-12,1.1360833422834968
2023-10-13,1.1531776509382283
2023-10-16,1.1632972175722265
2023-10-17,1.1732355784919646
2023-10-18,1.1826830326695839
2023-10-19,1.1926080258998495
2023-10-20,1.1809361468321111
2023-10-23,1.1876978344673115
2023-10-24,1.1944257542320136
2023-10-25,1.228327227324236
2023-10-26,1.2261086944519146
2023-10-27,1.2186787523865732
2023-10-30,1.2168488471382328
2023-10-31,1.1723676005266659
2023-11-01,1.191711602831946
2023-11-02,1.2009069971907358
2023-11-03,1.1835083369414243
2023-11-06,1.185358281214894
2023-11-07,1.1821721426922083
2023-11-08,1.1715813588751773
2023-11-09,1.1770338799304747
2023-11-10,1.1684808864759466
2023-11-13,1.1774467474882508
2023-11-14,1.1931391445763366
2023-11-15,1.1989914676345486
2023-11-16,1.2115781411735833
2023-11-17,1.2045922191210838
2023-11-20,1.21398532225368
2023-11-21,1.2231301383912272
2023-11-22,1.2268718751008092
2023-11-24,1.2245419462670488
2023-11-27,1.2408437413336604
2023-11-28,1.249806614256925
2023-11-29,1.2455514420986327
2023-11-30,1.2511491670212607
2023-12-01,1.246295418454346
2023-12-04,1.24344893706301
2023-12-05,1.243766183115008
2023-12-06,1.2529181820515383
2023-12-07,1.2548900020586882
2023-12-08,1.2594372542056793
2023-12-11,1.237464307032442
2023-12-12,1.2502651783762397
2023-12-13,1.2849665524858251
2023-12-14,1.279426066528025
2023-12-15,1.2592109452269848
2023-12-18,1.2803360120673966
2023-12-19,1.2801231080046278
2023-12-20,1.2949858015147884
2023-12-21,1.2984876227581472
2023-12-22,1.3067143546081676
2023-12-26,1.3062273039329508
2023-12-27,1.3132922894644579
2023-12-28,1.306409526201324
2023-12-29,1.306409526201324
