Date,AAPL,ACN,ADBE,ADI,ADSK,AKAM,ANET,APH,AVGO,CDNS,CDW,CIEN,COHR,DELL,FICO,FTNT,GEN,HPQ,IBM,INTU,IT,JBL,KEYS,KLAC,LRCX,MSI,MU,NOW,NTAP,PTC,QCOM,SMCI,SNPS,SWKS,TRMB,TXN,TYL,WDC,ZBRA
2023-07-03,0.33333333333333337,0.5897435897435898,0.35128205128205126,0.3384615384615385,0.482051282051282,0.358974358974359,0.6205128205128205,0.5333333333333334,0.4717948717948718,0.40512820512820513,0.4615384615384615,0.8743589743589745,0.39487179487179486,0.5333333333333334,0.6,0.3615384615384615,0.7205128205128204,0.6205128205128205,0.7128205128205127,0.5487179487179488,0.5794871794871795,0.3230769230769231,0.44871794871794873,0.30256410256410254,0.37435897435897436,0.3282051282051282,0.635897435897436,0.4,0.5846153846153846,0.6307692307692309,0.6871794871794872,0.6333333333333334,0.5076923076923077,0.43589743589743596,0.6051282051282051,0.45897435897435895,0.5435897435897437,0.6435897435897436,0.5641025641025641
2023-07-05,0.32564102564102565,0.5,0.3,0.4025641025641026,0.5692307692307692,0.5615384615384615,0.5153846153846154,0.4076923076923077,0.5615384615384615,0.5256410256410257,0.4076923076923077,0.6871794871794872,0.4282051282051282,0.5230769230769231,0.5256410256410257,0.3666666666666667,0.7948717948717949,0.5025641025641026,0.5,0.41794871794871796,0.5153846153846153,0.382051282051282,0.5384615384615384,0.5307692307692308,0.4076923076923077,0.2897435897435897,0.6538461538461539,0.3153846153846154,0.5051282051282051,0.6794871794871795,0.7153846153846153,0.4897435897435898,0.5410256410256411,0.6487179487179487,0.6333333333333334,0.5615384615384615,0.4435897435897436,0.6974358974358974,0.6282051282051282
2023-07-06,0.2794871794871795,0.3717948717948718,0.34615384615384615,0.4897435897435898,0.6615384615384616,0.6128205128205128,0.4692307692307692,0.382051282051282,0.5256410256410257,0.45897435897435895,0.4384615384615385,0.6025641025641025,0.4230769230769231,0.5051282051282051,0.5871794871794871,0.2948717948717949,0.8358974358974359,0.45384615384615384,0.5461538461538462,0.4948717948717948,0.32564102564102565,0.4384615384615384,0.5923076923076922,0.6538461538461537,0.36666666666666664,0.3,0.5769230769230769,0.5666666666666667,0.4641025641025641,0.6846153846153846,0.8153846153846154,0.5512820512820513,0.5,0.5153846153846154,0.7948717948717949,0.5358974358974359,0.3923076923076923,0.6358974358974359,0.5102564102564102
2023-07-07,0.30256410256410254,0.43076923076923074,0.33333333333333337,0.523076923076923,0.7256410256410257,0.5641025641025641,0.5230769230769231,0.43589743589743596,0.49743589743589745,0.5230769230769231,0.42564102564102557,0.5333333333333333,0.317948717948718,0.47179487179487173,0.49743589743589745,0.30769230769230765,0.7256410256410256,0.5025641025641026,0.5538461538461539,0.5871794871794872,0.31794871794871793,0.37435897435897436,0.5871794871794871,0.6923076923076923,0.40512820512820513,0.30769230769230765,0.5743589743589743,0.5615384615384615,0.5076923076923077,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5128205128205128,0.6,0.6743589743589744,0.6461538461538461,0.47179487179487173,0.6487179487179489,0.5025641025641026
2023-07-10,0.5743589743589743,0.4153846153846154,0.3487179487179487,0.49230769230769234,0.6384615384615383,0.5538461538461539,0.5435897435897437,0.46153846153846156,0.3948717948717949,0.3051282051282051,0.43589743589743585,0.5897435897435898,0.5641025641025641,0.3897435897435898,0.5794871794871794,0.29743589743589743,0.8076923076923077,0.5846153846153846,0.7,0.5358974358974359,0.49230769230769234,0.4230769230769231,0.33076923076923076,0.6717948717948719,0.5076923076923078,0.3794871794871795,0.5743589743589743,0.5230769230769231,0.5076923076923077,0.5820512820512821,0.8743589743589745,0.3435897435897436,0.36923076923076925,0.38974358974358975,0.8487179487179487,0.35128205128205126,0.4820512820512821,0.6846153846153846,0.4512820512820513
2023-07-11,0.6025641025641025,0.47948717948717945,0.3051282051282051,0.3923076923076923,0.4333333333333334,0.6076923076923078,0.4897435897435898,0.4333333333333333,0.34102564102564104,0.4538461538461539,0.5205128205128204,0.5205128205128204,0.7205128205128204,0.32564102564102565,0.4384615384615385,0.3666666666666667,0.6410256410256411,0.241025641025641,0.6205128205128205,0.5538461538461539,0.37179487179487175,0.4769230769230769,0.5102564102564102,0.6282051282051282,0.5410256410256411,0.4282051282051282,0.5102564102564103,0.5333333333333334,0.5153846153846153,0.6128205128205129,0.841025641025641,0.46410256410256406,0.5307692307692308,0.5051282051282051,0.8564102564102564,0.5153846153846153,0.4641025641025641,0.641025641025641,0.5666666666666667
2023-07-12,0.5897435897435898,0.37435897435897436,0.3641025641025641,0.40512820512820513,0.5461538461538462,0.5897435897435898,0.3230769230769231,0.33333333333333337,0.3948717948717949,0.44102564102564096,0.582051282051282,0.5897435897435898,0.6666666666666667,0.5307692307692308,0.49743589743589745,0.4666666666666666,0.7871794871794873,0.5282051282051281,0.6846153846153845,0.41282051282051285,0.3282051282051282,0.5717948717948718,0.5743589743589744,0.5692307692307692,0.4666666666666667,0.45897435897435895,0.5743589743589743,0.4666666666666666,0.5794871794871794,0.5846153846153846,0.7692307692307692,0.3384615384615384,0.49230769230769234,0.47692307692307684,0.7974358974358974,0.37435897435897436,0.3538461538461538,0.6435897435897436,0.4717948717948718
2023-07-13,0.5461538461538462,0.482051282051282,0.37435897435897436,0.5179487179487179,0.6153846153846154,0.4205128205128205,0.2769230769230769,0.43076923076923074,0.482051282051282,0.29230769230769227,0.6051282051282051,0.6846153846153846,0.5794871794871794,0.3641025641025641,0.6717948717948719,0.4666666666666667,0.7102564102564102,0.41025641025641024,0.6435897435897436,0.541025641025641,0.4564102564102564,0.482051282051282,0.6410256410256411,0.6051282051282051,0.3282051282051282,0.5897435897435898,0.5846153846153845,0.2794871794871795,0.4564102564102564,0.5487179487179488,0.6230769230769231,0.3538461538461538,0.5846153846153845,0.4769230769230769,0.764102564102564,0.5179487179487179,0.43076923076923074,0.5410256410256411,0.6205128205128204
2023-07-14,0.4666666666666666,0.38974358974358975,0.49230769230769234,0.5743589743589743,0.5435897435897435,0.558974358974359,0.358974358974359,0.4256410256410256,0.4666666666666667,0.3487179487179487,0.4205128205128205,0.8076923076923077,0.6666666666666666,0.38974358974358975,0.5641025641025641,0.46153846153846156,0.8179487179487179,0.5641025641025641,0.6846153846153846,0.45384615384615384,0.4564102564102564,0.43076923076923074,0.40512820512820513,0.6205128205128205,0.3948717948717949,0.4512820512820513,0.6461538461538462,0.29230769230769227,0.40512820512820513,0.43076923076923074,0.7,0.40512820512820513,0.4717948717948718,0.5333333333333333,0.7538461538461538,0.4256410256410256,0.5179487179487179,0.582051282051282,0.6205128205128204
2023-07-17,0.6102564102564102,0.40512820512820513,0.5282051282051282,0.28205128205128205,0.7025641025641025,0.6615384615384615,0.31025641025641026,0.5025641025641026,0.4666666666666667,0.4256410256410256,0.4153846153846154,0.8846153846153847,0.6512820512820513,0.44102564102564096,0.6358974358974359,0.5128205128205129,0.7230769230769231,0.4153846153846154,0.5435897435897435,0.6025641025641025,0.5128205128205128,0.4282051282051282,0.2923076923076923,0.5102564102564102,0.21794871794871798,0.5692307692307692,0.6102564102564102,0.4,0.36410256410256414,0.482051282051282,0.6846153846153846,0.4,0.5538461538461539,0.35128205128205126,0.764102564102564,0.4076923076923077,0.4461538461538462,0.7,0.5846153846153846
